word	parts
bridge	n|v
bridle	n|v
brief	adj|adv|n|v
briefcase	n
bright	adj|adv|n|v
brighten	v
brightness	n
brilliance	n
brilliant	adj|n|v
brilliantly	adv
brim	adj|n|v
brindled	adj|v
bring	interj|n|v
bring about	v
brink	n
briny	adj|n
brisk	adj|n|v
briskness	n
bristle	n|v
bristol	n
britain	adj|n
british	adj|n
brittle	adj|n|v
broach	n|v
broad	adj|n
broad-brimmed	
broadcast	adj|adv|n|v
broaden	n|v
brocade	n|v
brochure	n
brochures	n
broil	n|v
broken	adj|n|v
broker	adj|n|v
bromide	n
bronze	adj|n|v
brooch	n|v
brood	adj|n|v
brook	n|v
broom	interj|n|v
brother	interj|n|v
brotherhood	n
brothers	n|v
brow	n|v
browbeat	v
brown	adj|n|v
brownish	adj
browse	n|v
bruise	n|v
bruit	n|v
brunch	n|v
brunt	n|v
brush	n|v
brusque	adj|n|v
brutal	adj
brute	adj|n|v
bubble	n|v
buck	n|v
bucket	n|v
buckle	n|v
bucolic	adj|n
bud	n|v
buddhism	n
buddhist	adj|n
buddy	adj|n|pron|v
budge	adj|n|v
budget	adj|n|v
buffalo	n|v
buffer	adj|n|v
buffet	n|v
buffoon	n|v
bug	adj|n|v
bugaboo	n
buggy	adj|n
bugle	adj|n|v
build	n|v
building	n|v
buildings	n
bulb	n|v
bulge	n|v
bulk	adj|n|v
bulky	adj
bull	adj|n|v
bullet	n|v
bulletin	interj|n|v
bullion	n
bully	adj|interj|n|v
bumble	n|v
bumblebee	n
bump	interj|n|v
bumper	adj|n|v
bumptious	adj
bun	n|v
bunch	n|v
bundle	n|v
bungalow	n
bungle	n|v
bunk	adj|n|v
buoy	n|v
buoyant	adj
burden	n|v
burdensome	adj
bureau	n
bureaucracy	n
bureaucratic	adj
burgeon	n|v
burger	n
burglar	n|v
burial	n
burlesque	adj|n|v
burn	n|v
burner	n
burning	adj|n|v
burnish	n|v
burrow	n|v
burst	n|v
bury	n|v
bus	n|v
bush	adj|adv|n|v
bushel	n|v
business	adj|n
businessman	n
businesswoman	n
bust	adj|n|v
bustle	n|v
busy	adj|n|v
but	adv|conj|n|prep|v
butcher	adj|n|v
butt	n|v
butter	n|v
butterfly	n|v
button	n|v
buttress	n|v
buxom	adj
buy	n|v
buzz	n|v
buzzer	n
by	adj|adv|interj|n|prep
by-product	n
bye	adj|interj|n|prep
byline	n|v
bypass	n|v
byproduct	n
bystander	n
byword	n
byzantine	adj|n
cab	n|v
cabal	n|v
cabbage	n|v
cabin	n|v
cabinet	n
cabinetmaker	n
cable	n|v
cache	n|v
cachet	n|v
cacophonous	adj
cacophony	n
cacti	n
cactus	adj|n
cadaver	n
cadence	n|v
cadet	n
